??? ??????,??? ??????,?????,???????,????? ,??????,?????? ????????,?????? ???????
4132,36140,2274.9,970,,546,3790.9,39930.9
4133,36140,2274.9,970,,546,3790.9,39930.9
4134,36140,2274.9,970,,546,3790.9,39930.9
4135,36140,2274.9,970,,546,3790.9,39930.9
4136,36140,2242.9,970,,546,3758.9,39898.9
4137,36140,2242.9,970,,546,3758.9,39898.9
4138,36140,2242.9,970,,546,3758.9,39898.9
4139,36140,2242.9,970,,546,3758.9,39898.9
4140,36140,2242.9,970,,546,3758.9,39898.9
4141,36140,2242.9,970,,546,3758.9,39898.9
4142,36140,2242.9,970,,546,3758.9,39898.9
4143,36140,2242.9,970,,546,3758.9,39898.9
4144,36140,2242.9,970,,546,3758.9,39898.9
4145,36140,2242.9,970,,546,3758.9,39898.9
4146,36140,2242.9,970,,546,3758.9,39898.9
4147,36140,2242.9,970,,546,3758.9,39898.9
4148,36140,2242.9,970,,546,3758.9,39898.9
4149,36140,2242.9,970,,546,3758.9,39898.9
4150,36140,1986.9,970,,546,3502.9,39642.9
4151,36140,1986.9,970,,546,3502.9,39642.9
4152,36140,1986.9,970,,546,3502.9,39642.9
4153,36140,1986.9,970,,546,3502.9,39642.9
4154,36140,1986.9,970,,546,3502.9,39642.9
4155,36140,1986.9,970,,546,3502.9,39642.9
4156,36140,1986.9,970,,546,3502.9,39642.9
4157,36140,1986.9,970,,546,3502.9,39642.9
4158,36140,1986.9,970,,546,3502.9,39642.9
4159,36140,1986.9,970,,546,3502.9,39642.9
4160,36140,1986.9,970,,546,3502.9,39642.9
4161,36140,1986.9,970,,546,3502.9,39642.9
4162,36140,1986.9,970,,546,3502.9,39642.9
4163,36140,1986.9,970,,546,3502.9,39642.9
4164,36140,1986.9,970,,546,3502.9,39642.9
