?????,??????,????? ??????,??? ??????,??? ??????,01/03/2026,02/03/2026,03/03/2026,04/03/2026,05/03/2026,06/03/2026,07/03/2026,08/03/2026,09/03/2026,10/03/2026,11/03/2026,12/03/2026,13/03/2026,14/03/2026,15/03/2026,16/03/2026,17/03/2026,18/03/2026,19/03/2026,20/03/2026,21/03/2026,22/03/2026,23/03/2026,24/03/2026,25/03/2026,26/03/2026,27/03/2026,28/03/2026,29/03/2026,30/03/2026,31/03/2026,01-?????,02-?????,03-?????,04-?????,05-?????,06-?????,07-?????,08-?????,09-?????,10-?????,11-?????,12-?????,13-?????,14-?????,15-?????,16-?????,17-?????,18-?????,19-?????,20-?????,21-?????,22-?????,23-?????,24-?????,25-?????,26-?????,27-?????,28-?????,29-?????,30-?????,01-????,02-????,03-????,04-????,05-????,06-????,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4010,7A,3/1/2026,32500,233,32,32,32,32,32,32,32,32,32,32,32,32,32,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,51.6,51.6,51.6,51.6,51.6,51.6,51.6,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,,,,,3254.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4011,6A,3/1/2026,32500,180,32,32,32,32,32,32,32,32,32,32,32,32,32,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,51.6,51.6,51.6,51.6,51.6,51.6,51.6,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,,,,,3254.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4012,6A,3/1/2026,32500,204,32,32,32,32,32,32,32,32,32,32,32,32,32,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,51.6,51.6,51.6,51.6,51.6,51.6,51.6,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,,,,,3254.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4013,6A,3/1/2026,32500,192,32,32,32,32,32,32,32,32,32,32,32,32,32,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,51.6,51.6,51.6,51.6,51.6,51.6,51.6,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,,,,,3254.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4014,7A,3/1/2026,32500,243,32,32,32,32,32,32,32,32,32,32,32,32,32,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,51.6,51.6,51.6,51.6,51.6,51.6,51.6,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,,,,,3254.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4015,6A,3/1/2026,32500,195,32,32,32,32,32,32,32,32,32,32,32,32,32,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,51.6,51.6,51.6,51.6,51.6,51.6,51.6,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,,,,,3254.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4016,6A,3/1/2026,32500,215,32,32,32,32,32,32,32,32,32,32,32,32,32,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,51.6,51.6,51.6,51.6,51.6,51.6,51.6,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,,,,,3254.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4017,6A,3/1/2026,32500,212,32,32,32,32,32,32,32,32,32,32,32,32,32,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,51.6,51.6,51.6,51.6,51.6,51.6,51.6,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,,,,,3254.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4018,7A,3/1/2026,32500,248,32,32,32,32,32,32,32,32,32,32,32,32,32,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,51.6,51.6,51.6,51.6,51.6,51.6,51.6,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,,,,,3254.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4019,6A,3/1/2026,32500,200,32,32,32,32,32,32,32,32,32,32,32,32,32,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,51.6,51.6,51.6,51.6,51.6,51.6,51.6,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,,,,,3254.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4020,6A,3/1/2026,32500,155,32,32,32,32,32,32,32,32,32,32,32,32,32,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,51.6,51.6,51.6,51.6,51.6,51.6,51.6,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,,,,,3254.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4021,7A,3/1/2026,32500,227,32,32,32,32,32,32,32,32,32,32,32,32,32,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,51.6,51.6,51.6,51.6,51.6,51.6,51.6,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,,,,,3254.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4022,6A,3/1/2026,32500,177,32,32,32,32,32,32,32,32,32,32,32,32,32,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,51.6,51.6,51.6,51.6,51.6,51.6,51.6,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,,,,,3254.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4023,6A,3/1/2026,32500,202,32,32,32,32,32,32,32,32,32,32,32,32,32,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,51.6,51.6,51.6,51.6,51.6,51.6,51.6,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,,,,,3254.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4024,6A,3/1/2026,32500,190,32,32,32,32,32,32,32,32,32,32,32,32,32,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,51.6,51.6,51.6,51.6,51.6,51.6,51.6,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,,,,,3254.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4025,7A,3/1/2026,32500,220,32,32,32,32,32,32,32,32,32,32,32,32,32,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,51.6,51.6,51.6,51.6,51.6,51.6,51.6,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,,,,,3254.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4026,7A,3/1/2026,32500,230,32,32,32,32,32,32,32,32,32,32,32,32,32,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,51.6,51.6,51.6,51.6,51.6,51.6,51.6,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,,,,,3254.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4027,6A,3/1/2026,32500,214,32,32,32,32,32,32,32,32,32,32,32,32,32,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,51.6,51.6,51.6,51.6,51.6,51.6,51.6,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,,,,,3254.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4028,6A,3/1/2026,32500,161,32,32,32,32,32,32,32,32,32,32,32,32,32,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,51.6,51.6,51.6,51.6,51.6,51.6,51.6,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,,,,,3254.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4029,7A,3/1/2026,32500,270,32,32,32,32,32,32,32,32,32,32,32,32,32,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,51.6,51.6,51.6,51.6,51.6,51.6,51.6,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,,,,,3254.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4030,6A,3/1/2026,32500,178,32,32,32,32,32,32,32,32,32,32,32,32,32,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,51.6,51.6,51.6,51.6,51.6,51.6,51.6,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,,,,,3254.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4031,6A,3/1/2026,32500,193,32,32,32,32,32,32,32,32,32,32,32,32,32,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,51.6,51.6,51.6,51.6,51.6,51.6,51.6,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,,,,,3254.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4032,6A,3/1/2026,32500,215,32,32,32,32,32,32,32,32,32,32,32,32,32,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,51.6,51.6,51.6,51.6,51.6,51.6,51.6,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,,,,,3254.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4033,7A,3/1/2026,32500,273,32,32,32,32,32,32,32,32,32,32,32,32,32,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,51.6,51.6,51.6,51.6,51.6,51.6,51.6,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,,,,,3254.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4034,6A,3/1/2026,32500,212,32,32,32,32,32,32,32,32,32,32,32,32,32,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,51.6,51.6,51.6,51.6,51.6,51.6,51.6,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,,,,,3254.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4035,7A,3/1/2026,32500,192,32,32,32,32,32,32,32,32,32,32,32,32,32,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,51.6,51.6,51.6,51.6,51.6,51.6,51.6,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,,,,,3254.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4036,6A,3/1/2026,32500,207,32,32,32,32,32,32,32,32,32,32,32,32,32,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,51.6,51.6,51.6,51.6,51.6,51.6,51.6,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,,,,,3254.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4037,7A,3/1/2026,32500,223,32,32,32,32,32,32,32,32,32,32,32,32,32,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,51.6,51.6,51.6,51.6,51.6,51.6,51.6,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,,,,,3254.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
