,,,,?????? ??????,?????? ???????,,,,,,,,,,,,
??? ??????,??????,????? ??????,??? ??????,4/1/2026,4/30/2026,????? ???,????? ???,,,,,,,,,,
4059,8A,4/1/2026,185,195,271,2.62,2.97,,,,,,,,,,
4060,7A,3/13/2026,230,242,263,0.72,0.69,,,,,,,,,,
4061,7A,3/13/2026,270,300,328,0.97,1.21,,,,,,,,,,
4062,7A,3/13/2026,248,270,307,1.28,1.23,,,,,,,,,,
4063,6A,3/13/2026,217,245,274,1.00,1.19,,,,,,,,,,
4064,7A,3/13/2026,246,262,292,1.03,0.96,,,,,,,,,,
4065,7A,3/13/2026,242,268,283,0.52,0.85,,,,,,,,,,
4066,7A,3/13/2026,224,251,274,0.79,1.04,,,,,,,,,,
4067,7A,3/13/2026,241,274,295,0.72,1.13,,,,,,,,,,
4068,6A,3/13/2026,208,238,262,0.83,1.13,,,,,,,,,,
4069,7A,3/13/2026,230,252,274,0.76,0.92,,,,,,,,,,
4070,7A,3/13/2026,285,307,343,1.24,1.21,,,,,,,,,,
4071,6A,3/13/2026,183,192,217,0.86,0.71,,,,,,,,,,
4072,6A,3/13/2026,190,211,232,0.72,0.88,,,,,,,,,,
4073,7A,3/13/2026,260,279,301,0.76,0.85,,,,,,,,,,
4074,6A,3/13/2026,207,231,255,0.83,1.00,,,,,,,,,,
4075,7A,3/13/2026,233,248,274,0.90,0.85,,,,,,,,,,
4076,7A,3/13/2026,252,279,312,1.14,1.25,,,,,,,,,,
4077,7A,3/13/2026,256,289,323,1.17,1.40,,,,,,,,,,
4078,7A,3/13/2026,233,251,285,1.17,1.08,,,,,,,,,,
4079,6A,3/13/2026,210,249,273,0.83,1.31,,,,,,,,,,
4080,6A,3/13/2026,200,225,252,0.93,1.08,,,,,,,,,,
4081,7A,3/13/2026,266,290,311,0.72,0.94,,,,,,,,,,
4082,7A,3/13/2026,232,259,290,1.07,1.21,,,,,,,,,,
4083,6A,3/13/2026,219,245,263,0.62,0.92,,,,,,,,,,
4084,6A,3/13/2026,194,218,238,0.69,0.92,,,,,,,,,,
4085,6A,3/13/2026,185,208,223,0.52,0.79,,,,,,,,,,
4086,6A,3/13/2026,212,241,263,0.76,1.06,,,,,,,,,,
4087,6A,3/13/2026,193,212,253,1.41,1.25,,,,,,,,,,
4088,6A,3/13/2026,213,221,240,0.66,0.56,,,,,,,,,,
4089,7A,3/13/2026,228,260,294,1.17,1.38,,,,,,,,,,
4090,7A,3/13/2026,255,275,292,0.59,0.77,,,,,,,,,,
4091,7A,3/13/2026,245,272,302,1.03,1.19,,,,,,,,,,
4092,6A,3/13/2026,189,219,232,0.45,0.90,,,,,,,,,,
4093,6A,3/13/2026,204,238,260,0.76,1.17,,,,,,,,,,
4094,7A,3/13/2026,220,235,262,0.93,0.88,,,,,,,,,,
4095,7A,3/13/2026,225,244,272,0.97,0.98,,,,,,,,,,
4096,6A,3/13/2026,218,243,263,0.69,0.94,,,,,,,,,,
4097,6A,3/13/2026,170,193,211,0.62,0.85,,,,,,,,,,
4098,8A,4/1/2026,200,200,233,1.14,1.14,,,,,,,,,,
4099,8A,4/1/2026,232,232,270,1.31,1.31,,,,,,,,,,
4100,8A,4/1/2026,211,211,235,0.83,0.83,,,,,,,,,,
4101,8A,4/1/2026,257,257,293,1.24,1.24,,,,,,,,,,
4102,8A,4/1/2026,169,169,280,3.83,3.83,,,,,,,,,,
4103,8A,4/1/2026,245,245,272,0.93,0.93,,,,,,,,,,
4104,8A,4/1/2026,236,236,269,1.14,1.14,,,,,,,,,,
4105,8A,4/1/2026,250,250,262,0.41,0.41,,,,,,,,,,
4106,8A,4/1/2026,216,216,251,1.21,1.21,,,,,,,,,,
4107,8A,4/1/2026,262,262,305,1.48,1.48,,,,,,,,,,
4108,8A,4/1/2026,245,245,280,1.21,1.21,,,,,,,,,,
4109,8A,4/1/2026,226,226,265,1.34,1.34,,,,,,,,,,
4110,8A,4/1/2026,232,232,274,1.45,1.45,,,,,,,,,,
4111,8A,4/1/2026,216,216,254,1.31,1.31,,,,,,,,,,
4112,8A,4/1/2026,160,160,287,4.38,4.38,,,,,,,,,,
4113,8A,4/1/2026,232,232,255,0.79,0.79,,,,,,,,,,
4114,8A,4/1/2026,224,224,249,0.86,0.86,,,,,,,,,,
4115,8A,4/1/2026,240,240,275,1.21,1.21,,,,,,,,,,
4116,8A,4/1/2026,220,220,245,0.86,0.86,,,,,,,,,,
4117,8A,4/1/2026,200,200,234,1.17,1.17,,,,,,,,,,
4118,8A,4/1/2026,220,220,265,1.55,1.55,,,,,,,,,,
4119,8A,4/1/2026,218,218,253,1.21,1.21,,,,,,,,,,
4120,8A,4/1/2026,230,230,280,1.72,1.72,,,,,,,,,,
4121,8A,4/1/2026,250,250,276,0.90,0.90,,,,,,,,,,
4122,8A,4/1/2026,254,254,292,1.31,1.31,,,,,,,,,,
4123,8A,4/1/2026,293,293,322,1.00,1.00,,,,,,,,,,
4124,8A,4/1/2026,280,280,303,0.79,0.79,,,,,,,,,,
4125,8A,4/1/2026,200,200,240,1.38,1.38,,,,,,,,,,
4126,8A,4/1/2026,243,243,275,1.10,1.10,,,,,,,,,,
4127,8A,4/1/2026,244,244,257,0.45,0.45,,,,,,,,,,
